artist_id,artist_name
57DlMWmbVIf2ssJ8QBpBau,Toby Fox
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush
7mv15aFhJmcqNEGeiYWWbt,Fabienne DelSol
0qibngGI3EFCen6abY5hqY,Pidżama Porno
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries
0jNyGycjZJJUipcQCrYLOf,Pull The Wire
2j2UkX1yKVgfoXrdF06SkS,Kutas Records
4tpUmLEVLCGFr93o8hFFIB,Blondie
3Ww8GMbCDMAGwJJ2hd7z7z,Lena Raine
5LfTnYThnXuwit6WrCgqiS,Marcy Nabors
3rp4f58JlRHkk8hpdLCer1,Videoclub
4ueh4hmRvt62k4BgP8dIS0,Adèle Castillon
3bFokK6zCab3bPwSjktEVF,Mattyeux
0bbvrSsm0Dh4erBbE1dhHD,April March
1ckVZCWKKoeh5GhtidoU4D,Bajm
4nPxrGG7k7aEKmNLsfX4cd,White 2115
1OVBHv4jFhX06TWRCm7OSy,Lej Mi Pół
1ZdhAl62G6ZlEKqIwUAfZR,Enjambre
4svp08yFN6IGlkBJlEhT4Z,Denise Gutiérrez
3ax9PnRMGOs5HJVLkDT2Ea,Zabili Mi Żółwia
3yY2gUcIsjMr8hjo51PoJ8,The Smiths
3sntDD4Y2K97qvDq3GPqZ5,Myslovitz
004reCzVFOidvBuYrYia9Y,Zielone Żabki
5yrEzFs3Y9NmsHnmbej8k1,KULT
4MiKufcWLuX6KDLzqhUgQD,Maanam
0tuxLMGRErO5H0CognQrtA,Sabrina Sperman
7x91sJkli6lEJbMEdHnYf8,Ансамбль Весёлые ребята
0O1kJu9OsLJujgbsMQHA7G,Pamela Pamperson
0TMvoNR0AIJV138mHY6jdE,sanah
5370ZRL4QLnYElDr8sjDzC,Kuba Badach
3QrpmDKMmvcSUTHH8xED93,Kult
2L14uYIQePr3ZEutb6feZz,T.Love
3YFGEKxRqRSBCW6sSv2FJH,Kasia Sienkiewicz
53l3yjX8ITilPIlCRsVKEB,Kwiat Jabłoni
4jCIAMb0zEArF3GYEYzoDk,Joy Again
7ofG5BaSiQp8WeL4YCYDhF,adore
2DhJauCHKgwVilZO9A8og3,Natalia Szroeder
1U1eSs7M2ENf09cDx4lavK,Krzysztof Zalewski
0RUEHcBiENFEqxgicqS2ig,The Stranglers
2n6FviARgtjjimZXu18uRM,Le Tigre
7w29UYBi0qsHi5RTcv3lmA,Björk
0PkkQfDUJZuR2PcQ6uEV8j,Lady Pank
2uxD55T4gdYlDMGcGtxmMP,Kazik Na Żywo
7bu3H8JO7d0UbMoVzbo70s,The Cure
0WtTGUjbur1R1cNzBvbsMU,Broadcast
1GRpnNhXWlNMgnFf3NqEjv,L.U.C.
1gl0S9pS0Zw0qfa14rDD3D,Surf Curse
4NkE5k5xSRm6eVE7vMhqD6,Happysad
0LcJLqbBmaGUft1e9Mm8HV,ABBA
3Oim8XBPbznAa8Jj8QzNc8,Cults
0MGE7m2KV6Db6jOZFy93aD,Marek Grechuta
6CwfuxIqcltXDGjfZsMd9A,MARINA
4wck1fvaBpmJNFaeDT1Laa,Czerwone Gitary
3LkcDZeHCCCT4i4GxXbiPc,Cjalis
4Nxn225FzpeUaqAaUjywvO,Siajabajka
1dfeR4HaWDbWqFHLkxsg1d,Queen
41iWIl0DThSb5zndmSrYxO,Disco Adamus
0Y6dVaC9DZtPNH4591M42W,TV Girl
1S9WnjiTrLaqPCJ8gWSWWq,Nocny Kochanek
48nHO1cuTbpx4ELhChsxX1,Sidewalks and Skeletons
4is11BcYr7Bu9DuwCEF0yz,KSU
5vkRK0P4lZHhSXG0SMXpaw,Żółw Papież
6QFG7WstN8KncUwtLdZbNi,Kapitan Bomba
6ndnNNPcLftMWmDp9i2Azq,Chwytak
0FWmyGDOieC2nr3kV5Lqkb,Kejti Pyry
0e86yPdC41PGRkLp2Q1Bph,Mother Mother
0z300uEtGh3BdYBC3vpnPW,Irena Santor
7l1IUcuGTEXMuD1aN3wFqw,Ralph Kaminski
3FQiN6DM4NiLN3T0wz8t2Q,Elektryczne Gitary
2MX49idQeQuDXvXOxwA3nN,Czerwony Tulipan
32ojq4MJxHtYDXaeb1LIzm,Anna Jantar
7rPv4DjafGL4EBCatx4t8U,Skaldowie
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers
4dl2as3pdCgkcctBVPhB8A,Baroque Festival Orchestra
762310PdDnwsDxAQxzQkfX,Depeche Mode
4BpI2cqx4jw4DO8QfezanF,Katarzyna Sobczyk
16UXmC2zY5ECiptfegWxFQ,Perfect
6VDUKPL50LjK2upB0R3SXE,Niemen
164Uj4eKjl6zTBKfJLFKKK,JVKE
2Qk1uZpDnwDozHdxmB0dDx,Kleks
4WNxiqxAHcXWK9jWdevCIn,Zbigniew Wodecki
