place,track_id
0,2hpQl8ryv3IonCg9LiAtGT
1,1kGO54rUtSq3FQ74u5BGvm
2,3dSd4f3KMC3efgKlODlnfZ
3,2LtaWqNRnCRBvONackei6O
4,1PtXEYrahu8Vg2rhpJBoqt
5,1eN1L9mXLFepXpMJNSQng8
6,18hSVEiQxA9mbIq23fyNfz
7,1kvwk7VlnmVsFeI6SlZhzC
8,5P24rd9NbQy9j5rqswrPbO
9,5oKkU6VSkFSlTx3tP5zMoO
10,0NZW0zqtJ4PF6uJ19701kp
11,0GxUznsPADwZOXwluZTHnj
12,7KlTqYxhUnhspcx3PaN4Jn
13,1i2tGcETiQEjiddR9Ohk5C
14,1CcpC47g5exRhYpXf9K9UW
15,6RMOZruWKO7gt7rd2K438m
16,6jWx7mD5oblxybTaWpiPZN
17,0vC2UIF6GgcQvEdQzjcmKv
18,3O9xF6nqYYtMjkuIutRYLP
19,4j9dvpEjjIGHuUJDqw8tq8
20,5A1CTzfzTz7h4FZo7zxa1A
21,7FYby5bMAm5fD6A9cl87V9
22,4cQJ27R11K634x5qCOwKW5
23,1PV9UUMqvIFD5uMWyWer3T
24,4fXX61n4gV1yfPbAdDmdcz
25,2pl1aMLPcte0dHWHSJ1mr0
26,0Qfv4U5HqVba2vpMlKdm1S
27,2XRFaX4lO7wXVbi66EoFLa
28,5YSI1311X8t31PBjkBG4CZ
29,4xjVfArXNQRxAvsUpjmfMt
30,1K45maA9jDR1kBRpojtPmO
31,7LPGJhkRDEW6KopWhD8DbX
32,0rPytjmQTg2bG64jpZgSdy
33,0d41etv3lAM5LB7kaXujpg
34,1IhLr3JeynDVdTPbjQ1ulv
35,2givEu8av4YfkDJWqmhfj2
36,2vUImaMvI8zIfFK8Qjmp1k
37,7FXFAvkVsZ85KzppbQzYs2
38,12WoCxTAe9fvBEeiARi3Uk
39,1OlR8gWxMgHIb5bduxTz2q
40,3KQ86U3hp9QJCbft5pkaSN
41,51xG9HdUYO8aL0syBvBhd8
42,5R2Y1z0PEWOYn4FBa01MJd
43,5knepA9Rut8fHFq5t0iHSp
44,628RVPULYzx6bvh8uf0Msn
45,650eiAftcdoorcciUfl61h
46,6p7MkvkjcvXmrRgAaw91pw
47,5agpMV7rvg7Hf8IiX5kQXe
48,6SfyhZ0Ho8XeZfIlkYIBw3
49,7ho3BJsmZNpSFky8OQoOqo
